"id","sales_price","mercedes_c","vw_golf","vw_passat","bmw_320","opel_astra","diesel","other_car_owner","pm_green","private_seller","guarantee","inspection","maintenance_cert","co2_em","euro_norm","mile_20","mile_30","mile_40","mile_50","mile_100","mile_150","mileage","mileage2","age_3","age_6","age_car_years","age_car_years2"
84679,14.64,0,0,1,0,0,1,0,0,0,0,2,0,120,5,1,1,1,1,0,0,91.598,8390.193604,0,0,2.1,4.41
77900,10.729,0,0,1,0,0,1,1,1,0,0,2,1,121,5,1,1,1,1,1,1,183,33489,1,0,3.3,10.89
92825,8.19,0,0,1,0,0,1,0,0,1,0,0,1,148,5,1,1,1,1,1,1,190,36100,1,1,7.5,56.25
30449,18.509,0,1,0,0,0,1,1,1,0,0,1,1,102,6,1,1,1,0,0,0,43.8,1918.44,0,0,2.1,4.41
62017,15.85,0,1,0,0,0,1,1,1,0,0,0,1,119,5,1,1,1,1,1,1,160,25600,0,0,2,4
37937,40.18,0,0,0,1,0,1,1,1,0,0,1,0,143,5,1,0,0,0,0,0,24.9,620.01,0,0,1,1
17086,15.77,1,0,0,0,0,0,3,1,0,0,0,1,185,4,1,1,1,1,0,0,74.087,5488.883569,1,1,7.3,53.29
92909,12.969,0,0,0,1,0,1,2,1,1,0,0,1,142,5,1,1,1,1,1,0,117,13689,1,1,6.3,39.69
2132,5.02,0,1,0,0,0,1,1,1,0,0,0,1,137,4,1,1,1,1,1,1,174,30276,1,1,8.1,65.61
53420,25.61,0,0,0,1,0,1,0,1,0,0,2,0,124,5,1,1,1,1,1,0,124,15376,1,0,3.1,9.61
45869,12.59,0,1,0,0,0,1,1,1,0,0,1,1,109,5,1,1,1,1,0,0,78.9,6225.21,0,0,2.5,6.25
95868,10.23,0,1,0,0,0,1,1,0,1,0,0,1,119,5,1,1,1,1,1,0,138.7,19237.69,1,0,5.6,31.36
37372,15.1,0,0,0,0,1,1,1,1,0,0,1,1,97,6,1,1,1,0,0,0,41.457,1718.682849,0,0,1.1,1.21
51248,12.01,0,0,0,1,0,1,2,0,1,0,1,1,158,4,1,1,1,1,1,0,141.5,20022.25,1,1,9.2,84.64
73350,13.2,0,1,0,0,0,1,2,1,0,0,0,1,109,5,1,1,1,1,0,0,61,3721,1,0,3.1,9.61
4093,4.81,0,0,0,0,1,0,0,1,0,0,1,1,161,4,1,1,1,1,1,0,144.3,20822.49,1,1,9.5,90.25
52234,15.68,0,0,1,0,0,1,2,1,0,0,1,1,136,5,1,1,1,1,1,0,124.477,15494.523529,1,0,3.4,11.56
77005,22.25,1,0,0,0,0,1,2,1,0,0,1,1,127,5,1,0,0,0,0,0,26.372,695.482384,1,0,3.3,10.89
10238,20.82,0,1,0,0,0,1,1,1,0,0,1,1,108,5,1,0,0,0,0,0,29.773,886.431529,0,0,1,1
51119,12.16,0,0,1,0,0,1,1,1,0,0,0,1,120,5,1,1,1,1,1,1,157.1,24680.41,1,0,3.5,12.25
4431,29.19,0,0,0,1,0,1,1,1,0,1,1,0,124,5,1,1,1,1,0,0,78.641,6184.406881,0,0,2.6,6.76
73209,20.95,0,0,1,0,0,1,1,1,0,0,1,1,122,5,1,1,1,0,0,0,42.29,1788.4441,1,0,3.1,9.61
25709,18.82,0,1,0,0,0,0,0,1,0,0,0,0,117,5,1,0,0,0,0,0,22,484,0,0,1.6,2.56
100680,30.46,0,0,0,1,0,1,1,1,0,0,2,0,135,5,1,1,1,1,0,0,96.4,9292.96,1,0,3,9
47745,9.55,0,1,0,0,0,0,2,1,0,1,0,1,153,5,1,1,1,1,1,0,134.5,18090.25,1,0,4.9,24.01
102230,15.85,0,0,1,0,0,1,1,1,0,0,2,0,122,5,1,1,1,1,1,0,110.28,12161.6784,1,0,3.4,11.56
24405,4.279,0,0,0,1,0,0,3,1,1,0,0,1,185,4,1,1,1,1,1,1,150,22500,1,1,14,196
64315,17.16,0,0,1,0,0,1,1,1,0,0,1,0,120,5,1,1,1,1,0,0,96.8,9370.24,1,0,3.4,11.56
70186,18.56,0,0,1,0,0,1,0,1,0,0,2,0,120,5,1,1,0,0,0,0,37.02,1370.4804,0,0,2.4,5.76
38096,11.73,1,0,0,0,0,1,0,1,0,0,1,1,161,4,1,1,1,1,1,1,150,22500,1,1,6.7,44.89
15500,40.928,0,0,0,1,0,1,1,1,0,0,1,1,135,5,0,0,0,0,0,0,18.254,333.208516,0,0,1.2,1.44
53714,13.79,0,1,0,0,0,1,1,1,0,1,1,1,119,5,1,1,1,1,0,0,73.9,5461.21,1,0,3.1,9.61
31127,13.263,0,1,0,0,0,0,0,0,1,0,0,1,139,5,1,1,1,1,0,0,79,6241,1,0,5.1,26.01
47261,7.7,0,0,1,0,0,1,1,1,1,0,0,1,156,4,1,1,1,1,1,1,171.5,29412.25,1,1,10,100
28868,6.87,0,0,0,1,0,1,1,0,1,0,0,1,158,4,1,1,1,1,1,1,165,27225,1,1,9.5,90.25
85003,12.46,0,0,1,0,0,1,1,1,0,0,2,1,121,5,1,1,1,1,1,1,175.528,30810.078784,1,0,3,9
53867,18.63,1,0,0,0,0,1,1,1,0,0,0,1,127,5,1,1,1,1,0,0,99.871,9974.216641,0,0,2.1,4.41
16260,8.6,0,0,0,0,1,1,1,1,0,0,2,0,113,5,1,1,1,1,1,0,125,15625,0,0,2.1,4.41
17591,8.78,0,0,1,0,0,0,4,1,0,0,2,1,242,4,1,1,1,1,1,0,126.473,15995.419729,1,1,9.8,96.04
46727,23.339,0,0,0,1,0,1,1,1,0,0,1,1,114,5,1,1,1,1,1,0,122.583,15026.591889,0,0,2.3,5.29
15922,13.97,0,0,1,0,0,1,2,0,1,0,2,1,163,5,1,1,1,1,1,0,139,19321,1,0,4.7,22.09
36716,14.13,0,1,0,0,0,1,0,1,0,0,1,1,119,5,1,0,0,0,0,0,27.65,764.5225,0,0,2.8,7.84
8511,18.2,1,0,0,0,0,1,1,1,0,0,1,1,127,5,1,1,1,1,1,0,135,18225,0,0,2.2,4.84
3705,17.03,0,1,0,0,0,0,1,1,0,0,1,1,119,5,1,1,0,0,0,0,30.595,936.054025,0,0,1.2,1.44
74255,14.43,0,1,0,0,0,1,2,1,0,1,1,0,119,5,1,1,1,1,0,0,58.804,3457.910416,1,0,3.4,11.56
62399,21.73,1,0,0,0,0,1,0,1,0,0,2,0,133,5,1,1,0,0,0,0,34.6,1197.16,0,0,2.7,7.29
52818,18.665,1,0,0,0,0,1,1,1,0,0,0,1,127,5,1,1,1,1,0,0,54.5,2970.25,1,0,4.6,21.16
11492,16.94,1,0,0,0,0,1,1,1,0,0,1,0,124,5,1,1,1,1,1,0,126.667,16044.528889,1,0,4.3,18.49
33280,12.42,0,0,0,1,0,1,2,0,1,0,2,1,155,4,1,1,1,1,0,0,94,8836,1,1,8.2,67.24
100162,8.83,0,0,1,0,0,1,2,1,0,0,0,1,158,4,1,1,1,1,1,0,149.97,22491.0009,1,1,8.3,68.89
47691,14.51,1,0,0,0,0,1,1,1,0,0,1,1,161,5,1,1,1,1,1,0,114.2,13041.64,1,0,3.1,9.61
54212,18.78,1,0,0,0,0,0,2,1,0,0,1,0,175,5,1,1,1,1,0,0,54.574,2978.321476,1,1,6.1,37.21
42070,6.67,0,0,1,0,0,1,2,1,0,0,2,1,156,4,1,1,1,1,1,1,154.4,23839.36,1,1,8.6,73.96
41119,10.8,0,0,1,0,0,1,1,1,1,0,0,1,120,5,1,1,1,1,1,1,168,28224,1,0,3.8,14.44
73787,2.75,0,0,0,0,1,0,2,1,0,0,0,0,160,4,1,1,1,1,1,0,146,21316,1,1,11.5,132.25
14756,9.87,0,1,0,0,0,0,0,1,0,0,2,0,149,5,1,1,1,0,0,0,42,1764,1,0,5.4,29.16
88344,17.83,0,0,0,1,0,1,1,1,0,0,0,1,119,5,1,1,1,1,1,0,127,16129,1,0,3.3,10.89
36180,15.459,0,0,1,0,0,1,0,1,0,0,2,1,121,5,1,1,1,1,0,0,98.13,9629.4969,1,0,3.2,10.24
7502,22.39,0,0,1,0,0,1,1,1,0,0,0,1,122,5,0,0,0,0,0,0,16.271,264.745441,0,0,1.4,1.96
75002,10.46,0,0,0,1,0,1,0,1,0,0,0,1,131,4,1,1,1,1,1,1,173.735,30183.850225,1,1,8.2,67.24
17563,5.82,0,0,0,0,1,1,1,1,0,0,2,1,154,4,1,1,1,1,1,1,165.348,27339.961104,1,0,5.8,33.64
76523,4.64,0,0,1,0,0,1,0,0,1,0,0,0,158,4,1,1,1,1,1,1,182,33124,1,1,8.6,73.96
88650,14.9,0,1,0,0,0,1,1,1,0,0,1,1,104,5,1,1,1,1,0,0,80.1,6416.01,0,0,2.4,5.76
